     Configuration        CNN_ACC   ViT_ACC 
===========================================  
(0.00005, 0.00100,  64)   0.57440   0.87790
(0.00005, 0.00100, 128)   0.41500   0.85320
(0.00005, 0.00500,  64)   0.69760   0.88010
(0.00005, 0.00500, 128)   0.60380   0.86330
(0.00005, 0.01000,  64)   0.71870   0.87520
(0.00005, 0.01000, 128)   0.64820   0.86220
(0.00010, 0.00100,  64)   0.65500   0.88520
(0.00010, 0.00100, 128)   0.45980   0.86350
(0.00010, 0.00500,  64)   0.73840   0.88920
(0.00010, 0.00500, 128)   0.65530   0.87650
(0.00010, 0.01000,  64)   0.75210   0.88520
(0.00010, 0.01000, 128)   0.69260   0.87390
(0.00050, 0.00100,  64)   0.77180   0.89730
(0.00050, 0.00100, 128)   0.67410   0.88880
(0.00050, 0.00500,  64)   0.80750   0.90140
(0.00050, 0.00500, 128)   0.76800   0.89810
(0.00050, 0.01000,  64)   0.81660   0.89870
(0.00050, 0.01000, 128)   0.78480   0.89760

